U,Generator,P,Q,type
1,0,0,0,1
1,0,0,0,1
1,0,3.22,0.024,1
1,0,5,1.84,1
1,0,0,0,1
1,0,0,0,1
1,0,2.338,0.84,1
1,0,5.22,1.76,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0.075,0.88,1
1,0,0,0,1
1,0,0,0,1
1,0,3.2,1.53,1
1,0,3.29,0.323,1
1,0,0,0,1
1,0,1.58,0.3,1
1,0,0,0,1
1,0,6.28,1.03,1
1,0,2.47,1.15,1
1,0,0,0,1
1,0,2.47,0.846,1
1,0,3.08,-0.92,1
1,0,2.24,0.472,1
1,0,1.39,0.17,1
1,0,2.81,0.755,1
1,0,2.06,0.276,1
1,0,2.835,0.269,1
1.0475,2.50,0,0,2
0.9820,0,0.092,0.046,0
0.9831,6.50,0,0,2
0.9972,6.32,0,0,2
1.0123,5.08,0,0,2
1.0493,6.50,0,0,2
1.0635,5.60,0,0,2
1.0278,5.40,0,0,2
1.0265,8.30,0,0,2
1.0300,10.00,11.04,2.5,2